match_id,date,stage_id,team_id,opponent_id,goals_for,goals_against,xg,xg_against,result_type,is_home,possession_pct,total_shots,shots_on_target,corners,fouls,offsides,saves,data_source,team_name,confederation,opponent_name,stage_name,is_knockout,result,win,outcome,opp_own_goals,goals_from_play,conversion_rate
40,2026-06-21,1,30,32,2,2,1.1,1.65,Regular,0,35,12,4,4,4,1,5,fifa.com,Cabo Verde,CAF,Uruguay,Group Stage,False,D,0,Not win,0,2,16.666666666666664
41,2026-06-22,1,35,33,0,3,0.45,2.21,Regular,0,44,4,0,2,4,1,2,fifa.com,Iraq,AFC,France,Group Stage,False,L,0,Not win,0,0,0.0
42,2026-06-22,1,34,36,2,3,1.48,1.95,Regular,0,48,10,4,4,5,2,3,fifa.com,Senegal,CAF,Norway,Group Stage,False,L,0,Not win,0,2,20.0
43,2026-06-22,1,39,37,0,2,0.55,1.78,Regular,0,46,6,1,3,13,1,3,fifa.com,Austria,UEFA,Argentina,Group Stage,False,L,0,Not win,0,0,0.0
44,2026-06-22,1,38,40,2,1,1.92,0.88,Regular,0,71,18,6,7,9,2,1,fifa.com,Algeria,CAF,Jordan,Group Stage,False,W,1,Win,0,2,11.11111111111111
45,2026-06-23,1,43,41,0,5,0.42,3.54,Regular,0,38,5,1,2,12,2,3,fifa.com,Uzbekistan,AFC,Portugal,Group Stage,False,L,0,Not win,0,0,0.0
46,2026-06-23,1,42,44,0,1,0.58,1.62,Regular,0,42,8,2,3,14,1,3,fifa.com,Congo DR,CAF,Colombia,Group Stage,False,L,0,Not win,0,0,0.0
47,2026-06-23,1,47,45,0,0,0.89,1.12,Regular,0,41,9,2,3,12,1,3,fifa.com,Ghana,CAF,England,Group Stage,False,D,0,Not win,0,0,0.0
48,2026-06-23,1,46,48,1,0,1.48,0.42,Regular,0,56,15,4,5,10,1,1,fifa.com,Croatia,UEFA,Panama,Group Stage,False,W,1,Win,0,1,6.666666666666667
49,2026-06-24,1,1,4,3,0,1.27,1.1,Regular,0,50,11,5,1,13,1,1,sofascore.com,Mexico,CONCACAF,Czechia,Group Stage,False,W,1,Win,0,3,27.27272727272727
50,2026-06-24,1,3,2,0,1,1.39,1.26,Regular,0,68,8,3,6,9,2,3,fifa.com,South Korea,AFC,South Africa,Group Stage,False,L,0,Not win,0,0,0.0
51,2026-06-24,1,5,8,1,2,1.35,0.71,Regular,0,45,13,7,5,10,3,2,fifa.com,Canada,CONCACAF,Switzerland,Group Stage,False,L,0,Not win,0,1,7.6923076923076925
52,2026-06-24,1,7,6,1,3,0.95,1.48,Regular,0,46,9,3,5,14,3,3,fifa.com,Qatar,AFC,Bosnia and Herzegovina,Group Stage,False,L,0,Not win,0,1,11.11111111111111
53,2026-06-25,1,9,12,3,0,2.18,0.45,Regular,0,65,18,9,6,8,3,2,sofascore.com,Brazil,CONMEBOL,Scotland,Group Stage,False,W,1,Win,0,3,16.666666666666664
54,2026-06-25,1,11,10,2,4,1.12,2.35,Regular,0,38,10,5,3,14,1,5,sofascore.com,Haiti,CONCACAF,Morocco,Group Stage,False,L,0,Not win,1,1,10.0
55,2026-06-25,1,13,16,2,3,1.45,1.62,Regular,0,52,13,5,6,9,1,4,sofascore.com,USA,CONCACAF,Türkiye,Group Stage,False,L,0,Not win,0,2,15.384615384615385
56,2026-06-25,1,15,14,0,0,0.48,0.55,Regular,0,56,12,5,3,6,0,3,fifa.com,Australia,AFC,Paraguay,Group Stage,False,D,0,Not win,0,0,0.0
57,2026-06-26,1,17,20,1,2,1.55,1.28,Regular,0,56,16,7,6,10,2,3,sofascore.com,Germany,UEFA,Ecuador,Group Stage,False,L,0,Not win,0,1,6.25
58,2026-06-26,1,19,18,2,0,1.68,0.32,Regular,0,59,16,7,6,11,3,2,sofascore.com,Côte d'Ivoire,CAF,Curaçao,Group Stage,False,W,1,Win,0,2,12.5
59,2026-06-26,1,21,24,3,1,2.15,0.62,Regular,0,62,18,9,7,9,2,2,sofascore.com,Netherlands,UEFA,Tunisia,Group Stage,False,W,1,Win,1,2,11.11111111111111
60,2026-06-26,1,23,22,1,1,0.95,1.12,Regular,0,49,11,4,4,12,1,4,sofascore.com,Sweden,UEFA,Japan,Group Stage,False,D,0,Not win,0,1,9.090909090909092
61,2026-06-27,1,25,28,5,1,3.25,0.48,Regular,0,65,22,12,8,7,3,1,sofascore.com,Belgium,UEFA,New Zealand,Group Stage,False,W,1,Win,0,5,22.727272727272727
62,2026-06-27,1,27,26,1,1,0.92,0.85,Regular,0,53,12,4,4,11,2,3,sofascore.com,IR Iran,AFC,Egypt,Group Stage,False,D,0,Not win,0,1,8.333333333333332
63,2026-06-27,1,29,32,1,0,1.35,0.78,Regular,0,58,15,6,5,9,1,3,sofascore.com,Spain,UEFA,Uruguay,Group Stage,False,W,1,Win,0,1,6.666666666666667
64,2026-06-27,1,31,30,0,0,0.38,0.42,Regular,0,49,6,3,2,16,0,6,fifa.com,Saudi Arabia,AFC,Cabo Verde,Group Stage,False,D,0,Not win,0,0,0.0
65,2026-06-26,1,33,36,4,1,0.96,1.3,Regular,0,53,17,9,5,7,2,4,sofascore.com,France,UEFA,Norway,Group Stage,False,W,1,Win,0,4,23.52941176470588
66,2026-06-26,1,35,34,0,5,0.14,3.01,Regular,0,31,6,1,3,11,0,7,sofascore.com,Iraq,AFC,Senegal,Group Stage,False,L,0,Not win,0,0,0.0
67,2026-06-27,1,37,40,3,1,2.13,0.76,Regular,0,73,12,4,6,7,0,0,sofascore.com,Argentina,CONMEBOL,Jordan,Group Stage,False,W,1,Win,0,3,25.0
68,2026-06-27,1,39,38,3,3,1.44,1.62,Regular,0,50,10,3,3,7,3,2,sofascore.com,Austria,UEFA,Algeria,Group Stage,False,D,0,Not win,0,3,30.0
69,2026-06-28,1,41,44,0,0,0.73,1.62,Regular,0,45,13,2,2,6,2,6,sofascore.com,Portugal,UEFA,Colombia,Group Stage,False,D,0,Not win,0,0,0.0
70,2026-06-28,1,43,42,1,3,0.2,2.35,Regular,0,36,3,1,4,16,1,1,sofascore.com,Uzbekistan,AFC,Congo DR,Group Stage,False,L,0,Not win,0,1,33.33333333333333
71,2026-06-28,1,45,48,2,0,1.39,0.69,Regular,0,67,17,6,7,13,4,2,sofascore.com,England,UEFA,Panama,Group Stage,False,W,1,Win,0,2,11.76470588235294
72,2026-06-28,1,47,46,1,2,0.74,0.42,Regular,0,47,6,1,2,13,2,2,sofascore.com,Ghana,CAF,Croatia,Group Stage,False,L,0,Not win,0,1,16.666666666666664
73,2026-06-29,2,5,2,1,0,1.32,0.13,Regular,0,42,12,7,4,16,0,1,sofascore.com,Canada,CONCACAF,South Africa,Round of 32,True,W,1,Win,0,1,8.333333333333332
74,2026-06-29,2,22,9,1,2,0.23,1.69,Regular,0,31,5,2,2,13,0,4,sofascore.com,Japan,AFC,Brazil,Round of 32,True,L,0,Not win,0,1,20.0
